"label_slug","label_name","release_date","title","artists","catalog_number","beatport_url"
"zalmanim-records","Zalmanim Records","2024-04-12","Rebuild Yourself","Simon Rose","ZL0103","https://www.beatport.com/release/rebuild-yourself/4511741"
"zalmanim-records","Zalmanim Records","2024-04-05","Inner Self","2nd ID","ZL0101","https://www.beatport.com/release/inner-self/4516424"
"zalmanim-records","Zalmanim Records","2024-03-29","Dreams","Maor Azulay","ZL0100","https://www.beatport.com/release/dreams/4486382"
"zalmanim-records","Zalmanim Records","2024-02-23","Winds on mars","Moons","ZL0099","https://www.beatport.com/release/winds-on-mars/4453705"
"zalmanim-records","Zalmanim Records","2024-01-26","The Ghost of Goa's Techno","Simon Rose, TATA Box","ZL0098","https://www.beatport.com/release/the-ghost-of-goas-techno/4408265"
"zalmanim-records","Zalmanim Records","2023-11-03","Israel","Simon Rose, Carolina Reaper","ZL0097","https://www.beatport.com/release/israel/4323657"
"zalmanim-records","Zalmanim Records","2023-09-11","Dare Jade","Simon Rose, TATA Box","ZL0094","https://www.beatport.com/release/dare-jade/4238784"
"zalmanim-records","Zalmanim Records","2023-09-11","Endless Visions","Vincent R","ZL0092","https://www.beatport.com/release/endless-visions/4236765"
"zalmanim-records","Zalmanim Records","2023-09-08","Zalmanim 4","SPKTRR, Simon Rose, Toi Toi, Luca Sirianni, Vincent R, Nicolas Nucci, Svenj, Aquarius, Maor Azulay, Oren Levi, Moons","ZL0095","https://www.beatport.com/release/zalmanim-4/4711682"
"zalmanim-records","Zalmanim Records","2023-09-08","Sub Colors","Simon Rose","ZL0096","https://www.beatport.com/release/sub-colors/4245545"
"zalmanim-records","Zalmanim Records","2023-09-04","The arrival","Nicolas Nucci","ZL0093","https://www.beatport.com/release/the-arrival/4238783"
"zalmanim-records","Zalmanim Records","2023-08-28","Ixion","TATA Box","ZL0091","https://www.beatport.com/release/ixion/4238432"
"zalmanim-records","Zalmanim Records","2023-08-01","Back in town","2nd ID, Carolina Reaper","ZL0090","https://www.beatport.com/release/back-in-town/4206488"
"zalmanim-records","Zalmanim Records","2023-07-24","Hard day at work","2nd ID","ZL0089","https://www.beatport.com/release/hard-day-at-work/4189207"
"zalmanim-records","Zalmanim Records","2023-07-17","Anger management","TATA Box","ZL0087","https://www.beatport.com/release/anger-management/4186835"
"zalmanim-records","Zalmanim Records","2023-07-10","Baloons","Rosenfears","ZL0088","https://www.beatport.com/release/baloons/4186331"
"zalmanim-records","Zalmanim Records","2023-07-03","Defective System","Moons","ZL0086","https://www.beatport.com/release/defective-system/4158021"
"zalmanim-records","Zalmanim Records","2023-06-26","Etesian","Luca Sirianni","ZL0083","https://www.beatport.com/release/etesian/4144524"
"zalmanim-records","Zalmanim Records","2023-06-19","Spray","Simon Rose","ZL0085","https://www.beatport.com/release/spray/4151017"
"zalmanim-records","Zalmanim Records","2023-06-12","Serenity Dance","Zaidman","ZL0084","https://www.beatport.com/release/serenity-dance/4144934"
"zalmanim-records","Zalmanim Records","2023-05-22","News Room","2nd ID","ZL0082","https://www.beatport.com/release/news-room/4140761"
"zalmanim-records","Zalmanim Records","2023-04-17","Entheogenic Acuity","TATA Box","ZL0081","https://www.beatport.com/release/entheogenic-acuity/4071606"
"zalmanim-records","Zalmanim Records","2023-04-03","Thunder","Carolina Reaper","ZL0080","https://www.beatport.com/release/thunder/4060738"
"zalmanim-records","Zalmanim Records","2023-03-26","The Realest","Meir","ZL0078","https://www.beatport.com/release/the-realest/4051267"
"zalmanim-records","Zalmanim Records","2023-03-20","Signals","Maor Azulay","ZL0077","https://www.beatport.com/release/signals/4051266"
"zalmanim-records","Zalmanim Records","2023-03-15","Roller","Oren Levi","ZL0079","https://www.beatport.com/release/roller/4056594"
"zalmanim-records","Zalmanim Records","2023-03-07","Dim aurora","Simon Rose, TATA Box","ZL0076","https://www.beatport.com/release/dim-aurora/4046091"
"zalmanim-records","Zalmanim Records","2023-03-05","After Infection","2nd ID","ZL0075","https://www.beatport.com/release/after-infection/4038702"
"zalmanim-records","Zalmanim Records","2023-03-01","Alone","Rosenfears","ZL0074","https://www.beatport.com/release/alone/4031763"
"zalmanim-records","Zalmanim Records","2023-02-28","Forward","Maor Azulay, Meir, Oren Levi, Simon Rose, Zaidman, 2nd ID, stay:mo, Wesley Jones, TATA Box","ZL0068","https://www.beatport.com/release/forward/4029100"
"zalmanim-records","Zalmanim Records","2023-02-26","The Golem's Night Shift","Simon Rose","ZL0073","https://www.beatport.com/release/the-golems-night-shift/4010791"
"zalmanim-records","Zalmanim Records","2023-02-19","Cabin near the lake","Rosenfears","ZL0070","https://www.beatport.com/release/cabin-near-the-lake/4008586"
"zalmanim-records","Zalmanim Records","2023-02-12","Leviathan","TATA Box","ZL0071","https://www.beatport.com/release/leviathan/4000660"
"zalmanim-records","Zalmanim Records","2023-02-05","Scapes","GuyR","ZL0072","https://www.beatport.com/release/scapes/4007061"
"zalmanim-records","Zalmanim Records","2023-01-31","Stepping stone","Meir","ZL0069","https://www.beatport.com/release/stepping-stone/3977050"
"zalmanim-records","Zalmanim Records","2023-01-25","Valour Anomalies","Zaidman","ZL0066","https://www.beatport.com/release/valour-anomalies/3977790"
"zalmanim-records","Zalmanim Records","2023-01-15","Retro Mime","Mime Time","ZL0067","https://www.beatport.com/release/retro-mime/3977051"
"zalmanim-records","Zalmanim Records","2023-01-10","Back","Oren Levi","ZL0064","https://www.beatport.com/release/back/3977803"
"zalmanim-records","Zalmanim Records","2022-12-05","Cardinal Remix","Veleva","ZL0065","https://www.beatport.com/release/cardinal-remix/3943552"
"zalmanim-records","Zalmanim Records","2022-11-21","Smile","Maor Azulay","ZL0063","https://www.beatport.com/release/smile/3917895"
"zalmanim-records","Zalmanim Records","2022-10-09","1st Round","2nd ID","ZL0062","https://www.beatport.com/release/1st-round/3887285"
"zalmanim-records","Zalmanim Records","2022-10-02","I Miss You (End of May)","Simon Rose","ZL0061","https://www.beatport.com/release/i-miss-you-end-of-may/3887330"
"zalmanim-records","Zalmanim Records","2022-09-11","Zalmanim 3","Simon Rose, Erika Krall, Maor Azulay, 2nd ID, Jad0, Mike Angelov, Martin Christoph, Manjit Makhni, Jason Xmoon, Royal VegA, Miguel Serrano, TATA Box","ZL0060","https://www.beatport.com/release/zalmanim-3/3861224"
"zalmanim-records","Zalmanim Records","2022-08-01","Memories of EOP","GuyR","ZL0059","https://www.beatport.com/release/memories-of-eop/3820966"
"zalmanim-records","Zalmanim Records","2022-07-03","Aware","Mime Time, Skazka-Agada","ZL0058","https://www.beatport.com/release/aware/3789034"
"zalmanim-records","Zalmanim Records","2022-06-30","Falling with you","Simon Rose","ZL0057","https://www.beatport.com/release/falling-with-you/3768675"
"zalmanim-records","Zalmanim Records","2022-06-20","Expovision","TATA Box","ZL0056","https://www.beatport.com/release/expovision/3768676"
"zalmanim-records","Zalmanim Records","2022-06-06","Sugar Free","Maor Azulay","ZL0055","https://www.beatport.com/release/sugar-free/3746488"
"zalmanim-records","Zalmanim Records","2022-03-06","Deep Valley Monster","Simon Rose","ZL0054","https://www.beatport.com/release/deep-valley-monster/3677282"
"zalmanim-records","Zalmanim Records","2022-02-27","Deep Synth","Mime Time","ZL0053","https://www.beatport.com/release/deep-synth/3671135"
"zalmanim-records","Zalmanim Records","2022-02-27","SRM","Dennis AF","ZL0052","https://www.beatport.com/release/srm/3657379"
"zalmanim-records","Zalmanim Records","2022-02-13","No time to sleep","Simon Rose, Maor Azulay","ZL0051","https://www.beatport.com/release/no-time-to-sleep/3642068"
"zalmanim-records","Zalmanim Records","2022-01-09","Human Touch","Mime Time","ZL0050","https://www.beatport.com/release/human-touch/3612881"
"zalmanim-records","Zalmanim Records","2022-01-01","Thoughtless","Maor Azulay","ZL0048","https://www.beatport.com/release/thoughtless/3609969"
"zalmanim-records","Zalmanim Records","2021-11-29","Down To Business","Manjit Makhni","ZL0045","https://www.beatport.com/release/down-to-business/3554700"
"zalmanim-records","Zalmanim Records","2021-11-15","Electro Mime","Mime Time","ZL0049","https://www.beatport.com/release/electro-mime/3567721"
"zalmanim-records","Zalmanim Records","2021-10-31","The Dealer","Simon Rose","ZL0047","https://www.beatport.com/release/the-dealer/3554701"
"zalmanim-records","Zalmanim Records","2021-10-22","The Shrike","2nd ID","ZL0046","https://www.beatport.com/release/the-shrike/3551486"
"zalmanim-records","Zalmanim Records","2021-10-18","Rattlesnake Tango","Manjit Makhni","ZL0044","https://www.beatport.com/release/rattlesnake-tango/3543760"
"zalmanim-records","Zalmanim Records","2021-09-30","Yelala","Oren Levi","ZL0043","https://www.beatport.com/release/yelala/3521270"
"zalmanim-records","Zalmanim Records","2021-09-20","Hard Matter","Zahid Noise, Dean More, Biowave, Zedkleinberg, Jason Xmoon, WSTND, Joseph Virum, Keah","ZL0040","https://www.beatport.com/release/hard-matter/3509935"
"zalmanim-records","Zalmanim Records","2021-09-13","Far Away","Oren Levi","ZL0042","https://www.beatport.com/release/far-away/3506724"
"zalmanim-records","Zalmanim Records","2021-09-13","Acid Blood","2nd ID","ZL0041","https://www.beatport.com/release/acid-blood/3499802"
"zalmanim-records","Zalmanim Records","2021-08-20","Love Begins Again","Royal VegA","ZL0039","https://www.beatport.com/release/love-begins-again/3481105"
"zalmanim-records","Zalmanim Records","2021-08-16","Fantasma","Jason Xmoon","ZL0037","https://www.beatport.com/release/fantasma/3462380"
"zalmanim-records","Zalmanim Records","2021-08-10","Slow Down","2nd ID","ZL0038","https://www.beatport.com/release/slow-down/3468906"
"zalmanim-records","Zalmanim Records","2021-07-26","Choices","Maor Azulay","ZL0035","https://www.beatport.com/release/choices/3455741"
"zalmanim-records","Zalmanim Records","2021-07-19","Chace And Run","Shaul Eliyahu","ZL0036","https://www.beatport.com/release/chace-and-run/3453023"
"zalmanim-records","Zalmanim Records","2021-07-15","Far, Further, Furthest","Zaidman","ZL0025","https://www.beatport.com/release/far-further-furthest/3444353"
"zalmanim-records","Zalmanim Records","2021-07-12","Moods","Oren Levi","ZL0033","https://www.beatport.com/release/moods/3435533"
"zalmanim-records","Zalmanim Records","2021-07-05","The Builder","2nd ID","ZL0034","https://www.beatport.com/release/the-builder/3438712"
"zalmanim-records","Zalmanim Records","2021-07-01","Zalmanim 2","Biowave, Royal VegA, Shaul Eliyahu, Ever Tapia, Zaidman, Jad0, Simon Rose, Maor Azulay","ZL0032","https://www.beatport.com/release/zalmanim-2/3434795"
"zalmanim-records","Zalmanim Records","2021-06-30","Out Me","Biowave","ZL0030","https://www.beatport.com/release/out-me/3415264"
"zalmanim-records","Zalmanim Records","2021-06-28","Claiming Territory","Shaul Eliyahu","ZL0029","https://www.beatport.com/release/claiming-territory/3424567"
"zalmanim-records","Zalmanim Records","2021-06-28","Trotsky","Royal VegA","ZL0031","https://www.beatport.com/release/trotsky/3415262"
"zalmanim-records","Zalmanim Records","2021-06-03","Breaking Longer","Simon Rose","ZL0028","https://www.beatport.com/release/breaking-longer/3408740"
"zalmanim-records","Zalmanim Records","2021-05-31","Darkness Remixes","Ever Tapia, Biowave","ZL0024","https://www.beatport.com/release/darkness-remixes/3402470"
"zalmanim-records","Zalmanim Records","2021-05-31","Moon","Simon Rose","ZL0026","https://www.beatport.com/release/moon/3401624"
"zalmanim-records","Zalmanim Records","2021-05-11","Consistency","Froyke","ZL0021","https://www.beatport.com/release/consistency/3388735"
"zalmanim-records","Zalmanim Records","2021-05-10","Signs","Maor Azulay","ZL0018","https://www.beatport.com/release/signs/3369686"
"zalmanim-records","Zalmanim Records","2021-04-30","A Call From The Other Side","Jad0, Simon Rose","ZL0020","https://www.beatport.com/release/a-call-from-the-other-side/3368100"
"zalmanim-records","Zalmanim Records","2021-04-26","Lost Data","Simon Rose","ZL0019","https://www.beatport.com/release/lost-data/3368101"
"zalmanim-records","Zalmanim Records","2021-04-05","I´ll Show You Love","Biowave","ZA0015","https://www.beatport.com/release/i-ll-show-you-love/3368646"
"zalmanim-records","Zalmanim Records","2021-03-22","Story","SEBS","ZA0013","https://www.beatport.com/release/story/3303208"
"zalmanim-records","Zalmanim Records","2021-03-01","Darkness","Ever Tapia, Biowave","ZA0011","https://www.beatport.com/release/darkness/3285541"
"zalmanim-records","Zalmanim Records","2021-02-26","Heaven Underground","Jad0","ZL0009","https://www.beatport.com/release/heaven-underground/3275064"
"zalmanim-records","Zalmanim Records","2021-02-22","Dunes","Simon Rose","ZL00010","https://www.beatport.com/release/dunes/3282664"
"zalmanim-records","Zalmanim Records","2021-02-15","Keep This","Mime Time","ZL0008","https://www.beatport.com/release/keep-this/3282550"
"zalmanim-records","Zalmanim Records","2021-02-15","You Don't Need Me","Simon Rose","ZL0006","https://www.beatport.com/release/you-dont-need-me/3267429"
"zalmanim-records","Zalmanim Records","2021-02-14","Impact!","Zaidman","ZL0004","https://www.beatport.com/release/impact/3260719"
"zalmanim-records","Zalmanim Records","2021-02-08","Floating","Simon Rose, Oren Levi","ZL0002","https://www.beatport.com/release/floating/3255118"
"zalmanim-records","Zalmanim Records","2021-02-02","Down To Earth","Simon Rose","ZL0007","https://www.beatport.com/release/down-to-earth/3273651"
"zalmanim-records","Zalmanim Records","2021-01-04","Gateway","Simon Rose","553506","https://www.beatport.com/release/gateway/3240544"
"zalmanim-records","Zalmanim Records","2020-12-21","Zalman First Steps","GuyR, SPKTRR, Maor Azulay, Mellego, Simon Rose, Jad0, Oren Levi, The Last Stand","541023","https://www.beatport.com/release/zalman-first-steps/3217411"
"zalmanim-records","Zalmanim Records","2020-12-13","Space Travel","Simon Rose","541380","https://www.beatport.com/release/space-travel/3220777"
"zalmanim-records","Zalmanim Records","2020-11-24","Into the Red","Simon Rose","532676","https://www.beatport.com/release/into-the-red/3198377"
"zalmanim-records","Zalmanim Records","2020-11-22","Far Away","Maor Azulay","530439","https://www.beatport.com/release/far-away/3191559"
"zalmanim-records","Zalmanim Records","2020-11-15","View Through A Closed Window","GuyR","527186","https://www.beatport.com/release/view-through-a-closed-window/3186538"
"zalmanim-records","Zalmanim Records","2020-11-09","Black","Simon Rose","524456","https://www.beatport.com/release/black/3175669"
"zalmanim-records","Zalmanim Records","2020-11-05","Walk in Circles","Maor Azulay","522858","https://www.beatport.com/release/walk-in-circles/3172181"
"zalmanim-records","Zalmanim Records","2020-11-01","Getting Deeper","Simon Rose","522194","https://www.beatport.com/release/getting-deeper/3170499"
"zalmanim-records","Zalmanim Records","2020-05-04","Lost Data","Simon Rose","ZL0003","https://www.beatport.com/release/lost-data/3255127"
"zalmanim-records","Zalmanim Records","2020-03-27","2 Sides","Simon Rose","ZL0023","https://www.beatport.com/release/2-sides/3393118"
"zalmanim-records","Zalmanim Records","2020-02-07","White","Simon Rose","ZL0022","https://www.beatport.com/release/white/3393117"
